확장 대상 192개사, 최근 [2024, 2025] 개년만
  30121 자동차 제조업(완성차): 2개사
  303 자동차 부품 제조업: 91개사
  212 완제 의약품 제조업: 99개사
[적재] 한일단조 FY2024: KAM 섹션 586자
[적재] 한일단조 FY2025: KAM 섹션 570자
[적재] 핸즈코퍼레이션 FY2024: KAM 섹션 949자
[스킵] 핸즈코퍼레이션 FY2025: 사업보고서(12월 결산) 없음
[적재] 현대공업 FY2024: KAM 섹션 576자
[적재] 현대공업 FY2025: KAM 섹션 587자
[적재] 현대모비스 FY2024: KAM 섹션 758자
[적재] 현대모비스 FY2025: KAM 섹션 900자
[적재] 현대위아 FY2024: KAM 섹션 1242자
[적재] 현대위아 FY2025: KAM 섹션 1188자
[적재] 화승코퍼레이션 FY2024: KAM 섹션 1253자
[적재] 화승코퍼레이션 FY2025: KAM 섹션 937자
[적재] 화신정공 FY2024: KAM 섹션 545자
[적재] 화신정공 FY2025: KAM 섹션 556자
[적재] 휴림에이텍 FY2024: KAM 섹션 1173자
[적재] 휴림에이텍 FY2025: KAM 섹션 645자
완료: 총 349건 처리, KAM 섹션 확보 333건
